id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
81916,Male,disloyal Customer,25,Business travel,Eco,949,2,2,2,1,3,2,3,3,5,5,4,5,4,3,0,0.0,neutral or dissatisfied
47233,Male,Loyal Customer,45,Business travel,Eco Plus,954,2,2,3,3,2,2,2,2,1,5,2,3,1,2,0,0.0,satisfied
69258,Male,Loyal Customer,19,Business travel,Business,1903,1,4,4,4,1,1,1,1,3,2,3,4,2,1,0,0.0,neutral or dissatisfied
31975,Female,disloyal Customer,27,Business travel,Business,101,4,4,4,2,4,4,4,4,3,5,4,3,5,4,0,0.0,satisfied
85250,Female,Loyal Customer,34,Personal Travel,Eco,689,4,4,4,5,3,4,1,3,4,2,4,3,5,3,0,0.0,neutral or dissatisfied
119638,Female,Loyal Customer,54,Business travel,Business,1727,4,4,4,4,4,5,4,3,3,4,3,3,3,5,0,0.0,satisfied
49485,Male,Loyal Customer,61,Business travel,Business,3037,1,1,1,1,1,4,3,5,5,5,5,3,5,4,0,0.0,satisfied
102980,Female,Loyal Customer,41,Business travel,Business,2597,2,2,1,2,2,4,4,4,4,4,4,4,4,5,0,0.0,satisfied
14309,Male,Loyal Customer,51,Business travel,Business,1718,2,2,2,2,2,4,4,2,2,1,2,1,2,4,0,0.0,neutral or dissatisfied
69713,Female,Loyal Customer,44,Business travel,Eco,1372,2,5,3,3,1,3,3,2,2,2,2,4,2,1,0,0.0,neutral or dissatisfied
46453,Male,Loyal Customer,57,Business travel,Business,3176,3,3,4,3,3,5,5,5,5,5,4,3,5,4,0,0.0,satisfied
73907,Male,Loyal Customer,44,Business travel,Eco,2218,4,4,4,4,4,4,4,4,2,5,2,1,3,4,0,0.0,neutral or dissatisfied
12471,Male,Loyal Customer,16,Personal Travel,Eco,201,3,1,3,3,3,3,4,3,4,1,2,2,3,3,0,0.0,neutral or dissatisfied
92061,Female,Loyal Customer,58,Business travel,Business,1535,2,2,2,2,4,5,5,5,5,5,5,3,5,4,0,0.0,satisfied
83972,Male,disloyal Customer,25,Business travel,Business,373,3,5,3,3,5,3,5,5,3,5,5,4,5,5,0,0.0,neutral or dissatisfied
25622,Female,Loyal Customer,35,Business travel,Eco,526,4,1,1,1,4,3,4,4,4,2,3,3,3,4,0,0.0,neutral or dissatisfied
66632,Female,Loyal Customer,44,Personal Travel,Business,802,3,2,3,3,3,4,3,3,3,3,3,2,3,2,0,0.0,neutral or dissatisfied
10649,Female,disloyal Customer,32,Business travel,Eco,201,4,4,5,4,3,5,3,3,3,2,4,4,4,3,0,0.0,neutral or dissatisfied
14860,Male,Loyal Customer,43,Business travel,Business,2146,0,0,0,3,1,5,5,3,3,3,3,2,3,3,0,0.0,satisfied
47325,Male,Loyal Customer,29,Business travel,Business,1960,5,3,3,3,5,4,5,5,2,5,4,4,4,5,0,0.0,neutral or dissatisfied
47161,Female,disloyal Customer,39,Business travel,Business,965,2,2,2,1,3,2,3,3,1,5,4,3,4,3,0,0.0,neutral or dissatisfied
58879,Male,Loyal Customer,43,Business travel,Business,2585,3,3,1,3,3,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
44265,Male,Loyal Customer,17,Personal Travel,Eco,359,3,2,3,4,3,3,4,3,1,3,3,4,4,3,0,0.0,neutral or dissatisfied
49517,Male,Loyal Customer,41,Business travel,Business,2047,3,3,3,3,5,5,5,5,5,5,5,2,5,3,0,0.0,satisfied
28310,Female,Loyal Customer,35,Business travel,Eco,867,5,2,2,2,5,5,5,5,3,1,5,5,2,5,0,0.0,satisfied
89018,Female,Loyal Customer,44,Business travel,Business,2139,4,4,4,4,2,2,3,4,4,3,4,4,4,4,0,0.0,neutral or dissatisfied
116737,Female,Loyal Customer,10,Personal Travel,Eco Plus,373,2,5,2,4,1,2,1,1,5,2,5,4,4,1,0,0.0,neutral or dissatisfied
109174,Male,Loyal Customer,50,Business travel,Business,616,1,1,1,1,5,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
25971,Female,Loyal Customer,16,Personal Travel,Eco,946,2,3,2,1,2,2,2,2,5,2,3,1,1,2,0,0.0,neutral or dissatisfied
69127,Male,Loyal Customer,69,Personal Travel,Eco,1598,3,4,3,1,4,3,4,4,4,3,4,5,4,4,0,0.0,neutral or dissatisfied
41310,Female,Loyal Customer,38,Business travel,Business,802,4,4,4,4,1,5,2,5,5,5,5,4,5,3,0,0.0,satisfied
16514,Male,Loyal Customer,64,Business travel,Eco Plus,143,4,2,2,2,4,4,4,4,3,3,4,2,5,4,0,0.0,satisfied
18814,Female,Loyal Customer,51,Business travel,Business,3003,4,4,4,4,3,3,4,3,3,3,3,3,3,1,0,0.0,satisfied
30120,Male,Loyal Customer,38,Personal Travel,Eco,183,3,1,3,3,1,3,1,1,4,5,4,4,3,1,0,0.0,neutral or dissatisfied
28110,Female,Loyal Customer,28,Business travel,Business,1643,5,5,5,5,3,4,3,3,4,1,1,4,3,3,0,0.0,satisfied
102336,Male,disloyal Customer,33,Business travel,Eco,197,3,1,3,3,5,3,5,5,2,5,4,3,4,5,0,0.0,neutral or dissatisfied
85707,Female,Loyal Customer,42,Personal Travel,Eco,1547,4,5,4,3,4,5,5,1,1,4,1,3,1,3,0,0.0,satisfied
45613,Male,disloyal Customer,36,Business travel,Eco,406,1,2,1,3,2,1,2,2,1,2,4,2,4,2,0,0.0,neutral or dissatisfied
44591,Male,Loyal Customer,47,Personal Travel,Eco,177,2,5,2,3,4,2,5,4,3,3,5,3,4,4,0,0.0,neutral or dissatisfied
64655,Male,Loyal Customer,50,Business travel,Business,247,1,1,1,1,3,5,5,4,4,4,4,4,4,5,0,0.0,satisfied
83708,Female,Loyal Customer,42,Personal Travel,Eco,577,3,4,3,3,3,4,5,2,2,3,4,5,2,5,0,0.0,neutral or dissatisfied
2728,Male,Loyal Customer,25,Business travel,Business,3616,5,5,5,5,2,2,2,2,3,4,4,4,5,2,0,0.0,satisfied
120803,Female,Loyal Customer,55,Business travel,Business,1708,3,3,3,3,2,5,5,5,5,5,5,4,5,5,0,0.0,satisfied
91178,Female,Loyal Customer,24,Personal Travel,Eco,594,3,4,3,2,5,3,2,5,4,3,5,5,1,5,0,0.0,neutral or dissatisfied
40571,Male,Loyal Customer,56,Business travel,Eco,216,5,5,2,5,5,5,5,5,3,3,2,1,4,5,0,0.0,satisfied
76366,Male,Loyal Customer,33,Business travel,Business,931,4,4,4,4,3,3,3,3,4,5,4,4,5,3,0,0.0,satisfied
72761,Male,Loyal Customer,24,Business travel,Business,3645,1,4,1,1,4,4,4,4,5,2,4,3,5,4,0,0.0,satisfied
22252,Male,Loyal Customer,43,Business travel,Business,3290,5,5,5,5,5,4,4,4,4,4,5,5,4,2,0,0.0,satisfied
27134,Female,Loyal Customer,27,Business travel,Business,2640,4,4,4,4,4,4,4,3,3,5,2,4,3,4,0,0.0,satisfied
31058,Male,Loyal Customer,22,Business travel,Eco,641,5,4,4,4,5,5,3,5,4,1,4,1,3,5,0,0.0,satisfied
17939,Female,Loyal Customer,30,Business travel,Business,3354,4,4,4,4,4,5,4,4,3,5,5,5,1,4,0,0.0,satisfied
86656,Male,Loyal Customer,60,Personal Travel,Eco,746,3,4,3,4,5,3,5,5,1,5,3,1,3,5,0,0.0,neutral or dissatisfied
26086,Male,Loyal Customer,30,Business travel,Business,3565,1,2,5,2,1,1,1,1,4,2,3,3,3,1,0,0.0,neutral or dissatisfied
65499,Female,disloyal Customer,26,Business travel,Business,1067,5,5,5,3,4,5,4,4,3,2,5,3,5,4,0,0.0,satisfied
99264,Female,disloyal Customer,37,Business travel,Business,935,3,3,3,2,2,3,2,2,3,2,4,3,5,2,0,0.0,neutral or dissatisfied
23732,Female,Loyal Customer,52,Business travel,Business,771,1,1,4,1,4,1,4,5,5,4,5,5,5,1,0,0.0,satisfied
127963,Female,Loyal Customer,61,Personal Travel,Eco,1999,3,4,3,2,4,4,4,5,5,3,5,4,5,4,0,0.0,neutral or dissatisfied
18792,Male,Loyal Customer,56,Business travel,Business,448,5,5,5,5,3,2,2,4,4,4,4,1,4,2,0,0.0,satisfied
71247,Male,Loyal Customer,26,Business travel,Business,733,5,5,5,5,3,3,3,3,4,4,4,5,5,3,0,0.0,satisfied
13373,Male,Loyal Customer,58,Personal Travel,Eco,748,2,4,2,5,2,2,2,2,4,2,5,4,5,2,0,0.0,neutral or dissatisfied
13338,Male,Loyal Customer,36,Business travel,Eco,748,4,5,5,5,4,4,4,4,1,3,3,3,3,4,0,0.0,satisfied
14013,Female,Loyal Customer,45,Business travel,Eco,182,4,5,5,5,5,1,5,4,4,4,4,2,4,3,0,0.0,satisfied
34659,Male,Loyal Customer,44,Business travel,Business,2560,3,4,3,3,2,4,5,4,4,4,4,3,4,3,0,0.0,satisfied
116772,Female,Loyal Customer,42,Personal Travel,Eco Plus,342,2,5,2,2,2,5,5,1,1,2,1,4,1,4,0,0.0,neutral or dissatisfied
35531,Male,Loyal Customer,57,Personal Travel,Eco,972,2,4,2,2,2,2,2,2,3,3,5,4,4,2,0,0.0,neutral or dissatisfied
70453,Male,Loyal Customer,45,Business travel,Business,187,0,4,0,5,2,4,4,5,5,5,5,4,5,4,0,0.0,satisfied
20700,Female,Loyal Customer,25,Business travel,Business,510,3,4,4,4,3,3,3,3,4,3,3,3,2,3,0,0.0,neutral or dissatisfied
37567,Male,disloyal Customer,27,Business travel,Business,1165,2,2,2,4,3,2,3,3,2,2,4,4,1,3,0,0.0,neutral or dissatisfied
72135,Female,Loyal Customer,23,Business travel,Business,2207,2,3,3,3,2,2,2,2,2,5,3,2,3,2,0,0.0,neutral or dissatisfied
49715,Female,Loyal Customer,50,Business travel,Eco,89,2,3,3,3,3,1,5,2,2,2,2,1,2,4,0,0.0,neutral or dissatisfied
39158,Male,Loyal Customer,62,Business travel,Business,1638,2,2,2,2,3,1,2,5,5,5,5,1,5,1,0,0.0,satisfied
35601,Male,Loyal Customer,36,Business travel,Eco Plus,674,2,5,5,5,2,2,2,2,3,3,3,2,4,2,0,0.0,neutral or dissatisfied
10929,Male,Loyal Customer,40,Business travel,Business,1988,4,4,4,4,5,4,3,1,1,2,4,2,1,2,0,0.0,neutral or dissatisfied
68695,Male,Loyal Customer,57,Personal Travel,Eco,175,2,4,0,4,3,0,4,3,3,1,1,3,5,3,0,0.0,neutral or dissatisfied
38279,Female,Loyal Customer,46,Personal Travel,Eco,1111,3,4,3,3,5,5,4,4,4,3,4,4,4,4,0,0.0,neutral or dissatisfied
3105,Male,Loyal Customer,12,Personal Travel,Eco,594,0,3,0,3,1,0,1,1,1,1,3,1,4,1,0,0.0,satisfied
128938,Female,Loyal Customer,39,Business travel,Business,3085,4,4,4,4,4,4,4,4,4,4,4,3,4,3,0,0.0,satisfied
106385,Male,Loyal Customer,59,Business travel,Business,2391,2,2,2,2,3,4,4,4,4,5,4,5,4,5,0,0.0,satisfied
80885,Male,Loyal Customer,51,Business travel,Eco Plus,692,2,4,4,4,2,2,2,2,2,5,3,4,3,2,0,0.0,neutral or dissatisfied
86230,Male,Loyal Customer,43,Business travel,Eco,306,4,1,3,3,4,4,4,4,3,3,2,1,4,4,0,0.0,satisfied
33059,Male,Loyal Customer,53,Personal Travel,Eco,101,3,4,0,2,3,0,3,3,5,5,4,5,5,3,0,0.0,neutral or dissatisfied
69427,Female,Loyal Customer,47,Business travel,Business,2446,1,5,5,5,1,1,1,1,1,1,1,2,1,1,0,0.0,neutral or dissatisfied
7616,Male,Loyal Customer,20,Personal Travel,Eco,825,1,5,1,4,1,1,1,1,3,5,5,4,4,1,0,0.0,neutral or dissatisfied
3135,Female,Loyal Customer,39,Business travel,Business,3033,0,4,1,1,5,4,5,4,4,4,4,5,4,5,0,0.0,satisfied
76888,Female,Loyal Customer,50,Business travel,Business,630,4,4,4,4,2,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
15502,Male,Loyal Customer,63,Personal Travel,Eco,377,4,4,4,2,3,4,3,3,5,4,5,3,4,3,0,0.0,neutral or dissatisfied
123715,Male,Loyal Customer,14,Personal Travel,Eco,214,5,4,5,3,3,5,3,3,5,2,1,5,3,3,0,0.0,satisfied
73827,Male,Loyal Customer,61,Personal Travel,Eco,1194,1,5,1,5,4,1,4,4,4,2,5,4,5,4,0,0.0,neutral or dissatisfied
9012,Female,Loyal Customer,51,Business travel,Business,160,2,2,4,2,4,5,4,5,5,5,5,5,5,4,0,0.0,satisfied
6592,Female,Loyal Customer,36,Personal Travel,Eco,607,3,5,3,1,5,3,5,5,4,2,5,3,5,5,0,0.0,neutral or dissatisfied
5836,Male,Loyal Customer,42,Business travel,Eco Plus,157,2,5,4,5,2,2,2,2,3,4,3,2,4,2,0,0.0,neutral or dissatisfied
15157,Male,Loyal Customer,45,Personal Travel,Eco,1042,3,2,3,3,2,3,2,2,1,2,3,3,4,2,0,0.0,neutral or dissatisfied
30858,Male,Loyal Customer,16,Business travel,Eco,1703,0,4,0,3,4,0,4,4,2,1,4,5,5,4,0,0.0,satisfied
53581,Male,Loyal Customer,10,Business travel,Eco Plus,1195,5,2,2,2,5,5,4,5,4,1,4,3,5,5,0,0.0,satisfied
21382,Male,Loyal Customer,65,Business travel,Business,1564,1,1,4,1,2,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
84900,Male,Loyal Customer,49,Personal Travel,Eco,547,2,5,2,3,3,2,3,3,3,2,5,4,4,3,0,0.0,neutral or dissatisfied
61916,Male,Loyal Customer,24,Business travel,Eco,550,1,5,2,5,1,1,1,1,2,3,2,4,3,1,0,0.0,neutral or dissatisfied
26700,Male,Loyal Customer,15,Personal Travel,Eco,545,2,5,2,5,2,2,2,2,1,5,5,4,3,2,0,0.0,neutral or dissatisfied
112839,Male,Loyal Customer,42,Business travel,Business,1390,2,2,2,2,5,5,5,4,4,4,4,3,4,5,0,0.0,satisfied
122223,Female,disloyal Customer,8,Business travel,Eco,544,1,2,1,4,5,1,5,5,2,2,4,2,4,5,0,0.0,neutral or dissatisfied
67284,Male,Loyal Customer,20,Personal Travel,Eco,1121,1,5,0,1,3,0,4,3,3,2,4,4,4,3,0,0.0,neutral or dissatisfied
40236,Male,Loyal Customer,63,Business travel,Eco,463,5,2,2,2,5,5,5,5,1,3,5,1,1,5,0,0.0,satisfied
21635,Female,Loyal Customer,50,Personal Travel,Eco,780,2,3,2,3,3,2,1,5,5,2,5,4,5,3,0,0.0,neutral or dissatisfied
115624,Female,disloyal Customer,26,Business travel,Business,390,2,4,2,5,3,2,3,3,4,2,4,5,5,3,0,0.0,neutral or dissatisfied
86836,Female,Loyal Customer,47,Business travel,Eco,484,5,3,3,3,2,1,2,5,5,5,5,1,5,5,0,0.0,satisfied
22685,Female,Loyal Customer,32,Business travel,Business,3622,3,3,3,3,4,4,4,4,2,5,2,2,4,4,0,0.0,satisfied
52641,Male,Loyal Customer,35,Personal Travel,Eco,119,3,1,3,3,4,3,4,4,3,4,3,2,4,4,0,0.0,neutral or dissatisfied
81674,Male,Loyal Customer,29,Business travel,Business,2978,4,4,4,4,5,5,5,5,3,4,5,4,4,5,0,0.0,satisfied
120778,Female,Loyal Customer,21,Personal Travel,Eco,678,3,5,3,3,5,3,5,5,4,2,4,4,5,5,0,0.0,neutral or dissatisfied
29180,Female,disloyal Customer,35,Business travel,Eco Plus,978,2,2,2,1,2,2,2,2,3,4,3,5,3,2,0,0.0,neutral or dissatisfied
94152,Female,Loyal Customer,56,Business travel,Business,233,1,1,1,1,5,4,4,4,4,4,4,3,4,4,0,0.0,satisfied
36352,Female,Loyal Customer,46,Business travel,Eco Plus,395,5,3,3,3,2,1,4,5,5,5,5,4,5,5,0,0.0,satisfied
117409,Female,Loyal Customer,33,Business travel,Business,1766,4,4,4,4,4,5,5,3,3,3,3,3,3,5,0,0.0,satisfied
64320,Male,Loyal Customer,32,Business travel,Business,1158,5,5,5,5,5,5,5,5,3,4,5,4,5,5,0,0.0,satisfied
72530,Male,disloyal Customer,16,Business travel,Eco,929,5,5,5,3,3,5,3,3,4,2,4,5,5,3,0,0.0,satisfied
38150,Male,Loyal Customer,41,Personal Travel,Eco,1010,1,5,1,4,5,1,5,5,2,3,4,1,2,5,0,0.0,neutral or dissatisfied
87621,Female,disloyal Customer,16,Business travel,Business,591,4,4,4,3,3,4,3,3,3,5,4,4,4,3,0,0.0,satisfied
100587,Male,Loyal Customer,47,Personal Travel,Eco,486,2,5,2,3,4,2,4,4,5,4,4,5,5,4,0,0.0,neutral or dissatisfied
96814,Female,Loyal Customer,55,Business travel,Business,2038,3,3,3,3,3,5,4,5,5,5,5,4,5,5,0,0.0,satisfied
53125,Male,Loyal Customer,20,Personal Travel,Eco,2065,2,2,2,4,3,2,3,3,1,2,3,4,4,3,0,0.0,neutral or dissatisfied
128589,Male,Loyal Customer,36,Business travel,Business,2552,4,4,4,4,3,5,4,4,4,5,4,4,4,3,0,0.0,satisfied
7419,Male,disloyal Customer,29,Business travel,Eco,522,2,3,2,3,2,2,5,2,4,4,2,1,2,2,0,0.0,neutral or dissatisfied
50993,Male,Loyal Customer,16,Personal Travel,Eco,89,2,5,2,5,5,2,5,5,5,2,4,4,5,5,0,0.0,neutral or dissatisfied
89898,Female,Loyal Customer,39,Business travel,Eco,1310,2,2,2,2,2,2,2,2,1,3,4,4,4,2,0,0.0,neutral or dissatisfied
2252,Male,Loyal Customer,58,Business travel,Business,1925,3,3,3,3,3,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
116238,Female,Loyal Customer,30,Personal Travel,Eco,342,3,3,3,3,5,3,5,5,3,4,3,4,5,5,0,0.0,neutral or dissatisfied
1221,Female,Loyal Customer,14,Personal Travel,Eco,134,4,5,0,3,2,0,2,2,3,3,4,1,4,2,0,0.0,neutral or dissatisfied
117786,Male,Loyal Customer,58,Business travel,Business,328,2,2,2,2,4,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
10010,Female,Loyal Customer,39,Personal Travel,Eco,508,4,4,4,3,5,4,5,5,3,4,4,1,4,5,0,0.0,satisfied
97781,Male,Loyal Customer,50,Business travel,Business,3466,1,1,1,1,5,5,5,4,4,4,4,3,4,4,0,0.0,satisfied
118148,Female,Loyal Customer,43,Business travel,Business,1444,3,3,3,3,2,5,5,3,3,3,3,5,3,3,0,0.0,satisfied
40872,Female,Loyal Customer,42,Personal Travel,Eco,590,3,2,3,3,2,4,4,4,4,3,4,4,4,4,0,0.0,neutral or dissatisfied
125140,Male,Loyal Customer,26,Personal Travel,Eco Plus,361,2,5,2,1,5,2,5,5,4,2,5,5,4,5,0,0.0,neutral or dissatisfied
126138,Female,Loyal Customer,42,Business travel,Business,3651,3,3,3,3,4,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
129424,Male,Loyal Customer,36,Business travel,Business,2835,3,3,3,3,4,3,3,3,3,3,3,2,3,3,0,0.0,neutral or dissatisfied
122567,Male,Loyal Customer,60,Business travel,Business,500,3,3,2,3,2,5,5,5,5,5,5,5,5,5,0,0.0,satisfied
111671,Male,disloyal Customer,22,Business travel,Eco,991,2,2,2,3,5,2,5,5,2,1,2,5,4,5,0,0.0,neutral or dissatisfied
48680,Male,Loyal Customer,39,Business travel,Business,86,5,5,5,5,2,4,5,5,5,5,4,3,5,4,0,0.0,satisfied
125240,Male,Loyal Customer,36,Personal Travel,Eco,1149,4,5,4,5,3,4,3,3,4,5,4,4,5,3,0,0.0,satisfied
8642,Male,Loyal Customer,39,Business travel,Business,3222,4,4,4,4,2,5,5,5,5,5,5,4,5,4,0,0.0,satisfied
3803,Male,disloyal Customer,48,Business travel,Business,650,2,1,1,4,1,2,1,1,3,4,5,5,5,1,0,0.0,neutral or dissatisfied
63614,Female,Loyal Customer,24,Business travel,Eco,1440,2,2,2,2,2,2,1,2,1,1,2,4,3,2,0,0.0,neutral or dissatisfied
6466,Female,Loyal Customer,35,Business travel,Eco Plus,240,4,3,4,4,4,4,4,4,3,2,3,4,4,4,0,0.0,neutral or dissatisfied
117191,Male,Loyal Customer,29,Personal Travel,Eco,646,1,5,1,2,5,1,5,5,2,1,2,5,1,5,0,0.0,neutral or dissatisfied
29213,Male,Loyal Customer,10,Personal Travel,Eco,2311,2,1,2,4,5,2,5,5,1,1,4,3,4,5,0,0.0,neutral or dissatisfied
28905,Male,Loyal Customer,32,Business travel,Eco,987,5,2,5,2,5,5,5,5,1,1,3,1,2,5,0,0.0,satisfied
122134,Female,Loyal Customer,48,Business travel,Business,3026,2,1,5,1,3,3,3,2,2,2,2,4,2,2,0,0.0,neutral or dissatisfied
11196,Female,Loyal Customer,33,Personal Travel,Eco,308,4,1,4,4,4,4,4,4,3,3,4,4,3,4,0,0.0,neutral or dissatisfied
118656,Female,Loyal Customer,57,Business travel,Business,646,4,4,4,4,2,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
94906,Male,Loyal Customer,47,Business travel,Eco,248,5,4,4,4,5,5,5,5,3,5,5,3,3,5,0,0.0,satisfied
82704,Female,Loyal Customer,41,Business travel,Business,3091,3,5,5,5,2,3,3,3,3,3,3,2,3,3,0,0.0,neutral or dissatisfied
104609,Male,Loyal Customer,52,Business travel,Eco Plus,369,3,4,2,2,3,3,3,3,1,1,2,3,2,3,0,0.0,neutral or dissatisfied
125270,Female,Loyal Customer,32,Business travel,Business,1488,1,1,4,1,5,5,5,5,3,2,5,5,5,5,0,0.0,satisfied
3344,Female,disloyal Customer,34,Business travel,Business,315,3,3,3,3,5,3,5,5,5,3,4,3,5,5,0,0.0,neutral or dissatisfied
83823,Female,Loyal Customer,55,Business travel,Business,3381,3,3,3,3,5,5,5,2,2,3,2,3,2,3,0,0.0,satisfied
74708,Female,Loyal Customer,66,Personal Travel,Eco,1242,3,5,3,1,3,4,5,5,5,3,5,3,5,3,0,0.0,neutral or dissatisfied
8193,Female,Loyal Customer,71,Business travel,Business,125,3,4,3,4,4,4,3,3,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
17509,Female,Loyal Customer,55,Business travel,Business,241,5,3,5,5,4,3,3,4,4,4,4,5,4,4,0,0.0,satisfied
68734,Female,Loyal Customer,49,Business travel,Business,585,2,4,4,4,5,3,3,2,2,2,2,3,2,2,0,0.0,neutral or dissatisfied
48548,Male,Loyal Customer,28,Personal Travel,Eco,916,4,1,4,2,4,4,4,4,1,4,3,4,2,4,0,0.0,neutral or dissatisfied
56554,Male,disloyal Customer,35,Business travel,Business,1065,2,2,2,4,5,2,5,5,4,2,5,5,4,5,0,0.0,neutral or dissatisfied
127176,Male,Loyal Customer,8,Personal Travel,Eco,338,5,5,4,4,5,4,5,5,3,2,4,3,5,5,0,0.0,satisfied
32169,Male,Loyal Customer,31,Business travel,Eco,101,4,4,4,4,4,4,4,4,3,1,4,1,4,4,0,0.0,satisfied
123304,Female,Loyal Customer,37,Business travel,Business,3558,1,1,1,1,3,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
128185,Female,Loyal Customer,20,Personal Travel,Eco,1972,2,2,2,3,1,2,1,1,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
94601,Male,disloyal Customer,24,Business travel,Eco,189,5,0,5,4,2,5,2,2,3,3,4,4,4,2,0,0.0,satisfied
5195,Male,Loyal Customer,48,Business travel,Business,285,1,1,1,1,4,5,4,5,5,5,5,3,5,3,0,0.0,satisfied
89798,Female,Loyal Customer,34,Personal Travel,Eco,1096,3,4,3,4,2,3,2,2,4,5,4,3,4,2,0,0.0,neutral or dissatisfied
113539,Male,Loyal Customer,43,Business travel,Business,3724,1,1,1,1,5,5,5,4,4,4,5,3,4,5,0,0.0,satisfied
13001,Male,disloyal Customer,20,Business travel,Eco,438,4,0,4,5,2,4,5,2,4,4,2,4,3,2,0,0.0,satisfied
81243,Male,disloyal Customer,25,Business travel,Business,980,0,0,0,5,1,0,1,1,4,3,4,4,5,1,0,0.0,satisfied
50412,Female,Loyal Customer,42,Business travel,Business,3667,3,3,3,3,5,3,4,3,3,4,3,2,3,4,0,0.0,neutral or dissatisfied
52554,Male,Loyal Customer,33,Business travel,Business,110,0,4,0,4,5,5,5,5,4,4,2,1,2,5,0,0.0,satisfied
126185,Female,Loyal Customer,50,Business travel,Eco,631,4,4,2,2,1,4,3,4,4,4,4,4,4,3,0,0.0,neutral or dissatisfied
35930,Male,Loyal Customer,50,Business travel,Eco,2381,1,2,2,2,1,1,1,1,2,4,1,4,2,1,0,0.0,neutral or dissatisfied
